mask,family,data_dependent,N,density,live,cost_128x128,waste_128x128,cost_64x64,waste_64x64,cost_32x32,waste_32x32,cost_16x16,waste_16x16,sampled,speedup_vs_flex_32,speedup_vs_flex_16
window-512,window,0,65536,0.007782042026519775,33423616,41779200.0,1.249990425931174,37584896.0,1.124501191014162,35487744.0,1.061756573555656,34439168.0,1.030384264826403,1,1.1772853185595569,1.2131303520456709
window-1024,window,0,4096,0.218780517578125,3670528,4128768.0,1.1248430743478868,3899392.0,1.0623517924396708,3784704.0,1.0311061514855628,3727360.0,1.015483331008509,0,1.0909090909090908,1.1076923076923078
window-1024,window,0,16384,0.06054878234863281,16253440,18284544.0,1.1249645613482437,17268736.0,1.0624665301622302,16760832.0,1.0312175145692235,16498688.0,1.0150889903921878,1,1.0909090909090908,1.1082423038728897
window-1024,window,0,65536,0.01550304889678955,66585088,74907648.0,1.1249913494144514,70713344.0,1.0619997078024437,68616192.0,1.0305038869964398,67567616.0,1.0147559765934377,1,1.0916905444126075,1.1086323957322988
window-4096,window,0,4096,0.5001220703125,8390656,8650752.0,1.0309982914327556,8519680.0,1.015377105198926,8454144.0,1.0075665120820112,8421376.0,1.0036612155235538,0,1.0232558139534884,1.027237354085603
window-4096,window,0,16384,0.21875762939453125,58722304,60555264.0,1.0312140341087435,59637760.0,1.0155895790464897,59179008.0,1.007777351515363,58916864.0,1.0033132214975762,1,1.0232558139534884,1.0278086763070078
window-4096,window,0,65536,0.0605473518371582,260048896,268173312.0,1.031241878450428,263979008.0,1.0151129732156217,261881856.0,1.0070485205982185,260833280.0,1.003016294289517,1,1.024024024024024,1.028140703517588
dilated-2,dilated,0,4096,0.2501220703125,4196352,8650752.0,2.061493411420205,8519680.0,2.030258662762323,8454144.0,2.014641288433382,8421376.0,2.0068326012689117,0,1.0232558139534884,1.027237354085603
dilated-2,dilated,0,16384,0.250030517578125,67117056,135266304.0,2.0153789820578543,134742016.0,2.0075674356157696,134479872.0,2.003661662394727,134348800.0,2.001708775784206,1,1.0058479532163742,1.006829268292683
dilated-2,dilated,0,65536,0.25000762939453125,1073774592,2151677952.0,2.0038450975006867,2149580800.0,2.0018920321035125,2148532224.0,2.0009154994049254,2148007936.0,2.000427233055632,1,1.0014641288433381,1.001708567244325
dilated-4,dilated,0,4096,0.1251220703125,2099200,8650752.0,4.120975609756098,8519680.0,4.058536585365854,8454144.0,4.027317073170732,8421376.0,4.011707317073171,0,1.0232558139534884,1.027237354085603
dilated-4,dilated,0,16384,0.125030517578125,33562624,135266304.0,4.030266048328045,134742016.0,4.014644862094215,134479872.0,4.0068342689773,134348800.0,4.002928972418843,1,1.0058479532163742,1.006829268292683
dilated-4,dilated,0,65536,0.12500762939453125,536903680,2151677952.0,4.0075678974671956,2149580800.0,4.003661885871224,2148532224.0,4.001708880073238,2148007936.0,4.000732377174245,1,1.0014641288433381,1.001708567244325
dilated-8,dilated,0,4096,0.0626220703125,1050624,8650752.0,8.23391812865497,8519680.0,8.10916179337232,8454144.0,8.046783625730994,8421376.0,8.015594541910332,0,1.0232558139534884,1.027237354085603
dilated-8,dilated,0,16384,0.062530517578125,16785408,135266304.0,8.058565153733529,134742016.0,8.027330405075647,134479872.0,8.011713030746705,134348800.0,8.003904343582235,1,1.0058479532163742,1.006829268292683
dilated-8,dilated,0,65536,0.06250762939453125,268468224,2151677952.0,8.014646649578909,2149580800.0,8.006835103136824,2148532224.0,8.002929329915782,2148007936.0,8.00097644330526,1,1.0014641288433381,1.001708567244325
sinks4+win256,sinks+window,0,4096,0.0614696741104126,1031290,1998848.0,1.9382016697534157,1511424.0,1.4655664265143655,1264640.0,1.2262700113450145,1140480.0,1.1058771053728824,0,1.5805668016194332,1.7526374859708194
sinks4+win256,sinks+window,0,16384,0.015743710100650787,4226170,8290304.0,1.9616589015586217,6230016.0,1.4741517733550709,5196800.0,1.2296713099567693,4677120.0,1.1067041789610925,1,1.5952709359605912,1.7725232621784346
sinks4+win256,sinks+window,0,65536,0.003959445748478174,17005690,33456128.0,1.9673490461133891,25092096.0,1.4755117845850418,20910080.0,1.2295931538208682,18819072.0,1.1066338384387813,1,1.6,1.7777777777777777
sinks4+win1024,sinks+window,0,4096,0.21951258182525635,3682810,4505600.0,1.223413643386436,4091904.0,1.111082027039136,3881984.0,1.0540820731995406,3776256.0,1.0253735598632565,0,1.1606436296491691,1.1931394481730053
sinks4+win1024,sinks+window,0,16384,0.06077764183282852,16314874,20234240.0,1.2402326858301205,18247680.0,1.1184689504804022,17251328.0,1.0573987883694351,16743936.0,1.0262988240056283,1,1.172909123286045,1.2084518239916828
sinks4+win1024,sinks+window,0,65536,0.015563128981739283,66843130,83148800.0,1.2439393547250106,74833920.0,1.1195454192525096,70676480.0,1.057348451516259,68597760.0,1.0262499676481338,1,1.1764705882352942,1.2121212121212122
local256+str8,local+strided,0,4096,0.1156005859375,1939456,8650752.0,4.460401267159451,8519680.0,4.392819429778247,8454144.0,4.359028511087645,8421376.0,4.342133051742344,0,1.0232558139534884,1.027237354085603
local256+str8,local+strided,0,16384,0.0760955810546875,20426752,135266304.0,6.6220172448365755,134742016.0,6.596350511329456,134479872.0,6.5835171445758975,134348800.0,6.577100461199118,1,1.0058479532163742,1.006829268292683
local256+str8,local+strided,0,65536,0.0659189224243164,283119616,2151677952.0,7.599890047887039,2149580800.0,7.592482747645433,2148532224.0,7.588779097524631,2148007936.0,7.586927272464229,1,1.0014641288433381,1.001708567244325
prefixlm-1024,prefix-lm,0,4096,0.531341552734375,8914432,9109504.0,1.0218827178220664,9011200.0,1.010855206478663,8962048.0,1.0053414508069611,8937472.0,1.0025845729711103,0,1.016453382084095,1.0192483959670027
prefixlm-1024,prefix-lm,0,16384,0.5019817352294922,134749696,135725056.0,1.007238309465277,135233536.0,1.0035906574512792,134987776.0,1.0017668314442802,134873088.0,1.000915712641014,1,1.0054618278917344,1.0063168124392614
prefixlm-1024,prefix-lm,0,65536,0.5001295804977417,2148040192,2152136704.0,1.0019070928073213,2150105088.0,1.000961292999866,2149089280.0,1.0004883930961381,2148581376.0,1.0002519431442742,1,1.0014180071662728,1.0016547327644714
docpack-512,doc-packed,1,4096,0.07067614793777466,1185749,1982464.0,1.671908641710851,1564672.0,1.3195642585403824,1380352.0,1.1641182071416463,1279744.0,1.0792705707531696,0,1.4362017804154303,1.5491098219643928
docpack-512,doc-packed,1,16384,0.01608196645975113,4316970,7487488.0,1.7344313256751842,5836800.0,1.3520594305728324,5087232.0,1.178426535278216,4657152.0,1.0788011035517968,1,1.4718196457326893,1.6077396657871592
docpack-512,doc-packed,1,65536,0.005286721047013998,22706294,35160064.0,1.5484721549011917,28737536.0,1.2656198321047019,25755648.0,1.1342955393777603,24266752.0,1.068723588270283,1,1.3651399491094147,1.4488986412355473
docpack-2048,doc-packed,1,4096,0.18938666582107544,3177381,3768320.0,1.1859830470440906,3481600.0,1.0957452065081272,3344384.0,1.0525599542516304,3260672.0,1.0262137275951484,0,1.1267605633802817,1.155688152626207
docpack-2048,doc-packed,1,16384,0.0705985426902771,18951152,22085632.0,1.1653978607738464,20475904.0,1.0804569558621027,19656704.0,1.037230032242895,19346944.0,1.0208848517493818,1,1.1235674098770576,1.1415566200015879
docpack-2048,doc-packed,1,65536,0.016064926981925964,68998336,81559552.0,1.182050999026991,75022336.0,1.0873064533034535,71954432.0,1.0428430042138987,69621760.0,1.009035348330719,1,1.133488928103831,1.1714663921164876
bidoc-512,doc-packed-bidir,1,4096,0.14110815525054932,2367402,3440640.0,1.453339990419878,2867200.0,1.2111166586832316,2629632.0,1.1107669926780497,2493952.0,1.0534552222225038,0,1.308411214953271,1.3795935126257441
bidoc-512,doc-packed-bidir,1,16384,0.03210289776325226,8617556,12877824.0,1.4943707937610153,10625024.0,1.232950966608166,9650176.0,1.1198274777674784,9073664.0,1.0529277674551811,1,1.33446519524618,1.4192529059925516
bidoc-512,doc-packed-bidir,1,65536,0.010558183304965496,45347052,61931520.0,1.3657231786533774,53157888.0,1.172245728344149,49176576.0,1.0844492382878606,46940160.0,1.0351314568364884,1,1.2593703148425788,1.3193717277486912
bidoc-512+40,doc-packed-bidir,1,4096,0.13948214054107666,2340122,3178496.0,1.3582608086245076,2736128.0,1.169224510516973,2541568.0,1.0860835460715297,2439680.0,1.042543935743521,0,1.2506043513295728,1.3028331584470094
bidoc-512+40,doc-packed-bidir,1,16384,0.03207428753376007,8609876,12746752.0,1.4804803228292718,10698752.0,1.2426139470533606,9574400.0,1.1120253067523853,9091072.0,1.0558888420692703,1,1.331336898395722,1.4021175940527146
bidoc-512+40,doc-packed-bidir,1,65536,0.010552260093390942,45321612,62095360.0,1.3701048409310772,53469184.0,1.1797723346645306,49352704.0,1.088944144352147,47267840.0,1.04294260318896,1,1.2581957008880404,1.3136915077989602
